AÑO,DEPARTAMENTO,DEPARTAMENTO,SEXO,Total personas,"IC+- b/
Total personas","Cve c/
Total personas",TOTAL Hogares,Hogares IC+- b/,Hogares Cve c/,,TOTAL Equipos de cómputo,Equipos de cómputo IC+-,Equipos de cómputo Cve,Equipos de cómputoProporción,,TOTAL Hogares con internet,Hogares con internetIC+-,Hogares con internet Cve,Hogares con internet Proporción,,Total Uso computador portátil en cualquier lugar,"Total IC+-
Usó computador portátil en cualquier lugar","Cve
Usó computador portátil en cualquier lugar","Proporción 
Usó computador portátil en cualquier lugar",,Total Uso computador en cualquier lugar,"Total IC+-
Usó computador en cualquier lugar","Cve
Usó computador en cualquier lugar","Proporción 
Usó computador en cualquier lugar",,Total Usó Internet en cualquier lugar y desde cualquier dispositivo,"IC+- 
Usó Internet en cualquier lugar y desde cualquier dispositivo","CVe
Usó Internet en cualquier lugar y desde cualquier dispositivo","Proporción
Usó Internet en cualquier lugar y desde cualquier dispositivo",,"Total 
Usó teléfono celular en cualquier lugar","IC+- 
Usó teléfono celular en cualquier lugar","CVe
Usó teléfono celular en cualquier lugar","Proporción
Usó teléfono celular en cualquier lugar",,,"TOTAL
Tiene teléfono celular","IC+-
Tiene teléfono celular","Cve
Tiene teléfono celular","Proporción
Tiene teléfono celular",,,"TOTAL
Tiene teléfono celular inteligente (smartphone)","IC+-
Tiene teléfono celular inteligente (smartphone)","Cve
Tiene teléfono celular inteligente (smartphone)","Proporción
Tiene teléfono celular inteligente (smartphone)",,TOTAL Pnas usan computador o internet,Pnas usan computador o internet IC+- b/,Pnas usan computador o internet Cve c/,proporción usan computador,,Usan procesadores texto TOTAL,Usan procesadores texto IC+-,Usan procesadores texto Cve,Usan procesadores texto Proporción,,Usan mails y adjuntos TOTAL,Usan mails y adjuntos IC+-,Usan mails y adjuntos Cve,Usan mails y adjuntos Proporción,,Instala dispositivos TOTAL,Instala dispositivos IC+-,Instala dispositivos Cve,Instala dispositivos Proporción,,Usa formulación hojas cálculo TOTAL,Usa formulación hojas cálculo IC+-,Usa formulación hojas cálculo Cve,Usa formulación hojas cálculo Proporción,,Crea PPTs TOTAL,Crea PPTs IC+-,Crea PPTs Cve,Crea PPTs Proporción,,Usa lenguaje programación TOTAL,Usa lenguaje programación IC+-,Usa lenguaje programación Cve,Usa lenguaje programación Proporción
,,,MUJER,63,1,"0,9%",,,,,,,,,,,,,,,6,1,"7,70%","10,1",,10,1,"6,40%","16,4",,43,2,"2,20%","69,4",,53,1,"1,40%","85,1",,,38,2,"2,20%","60,3",,,35,2,"2,40%","55,5",,10,1,"6,4%","16,4",,16,2,"6,20%","36,2",,15,2,"5,60%","33,9",,8,1,"8,90%",18,,7,1,"9,10%","14,8",,5,1,"9,60%","12,1",,3,1,"13,50%","6,8"
,BOGOTÁ D.C.,TOTAL,TOTAL,7580,42,"0,3%",3018,82,"1,4%",,1768,142,"4,1%","58,6",,2335,117,"2,6%","77,4",,2709,288,"5,40%","35,7",,4051,285,"3,60%","53,4",,6508,187,"1,50%","85,9",,7085,80,"0,60%","93,5",,,6506,81,"0,60%","85,8",,,6123,155,"1,30%","80,8",,4051,285,"3,6%","53,4",,4364,254,"3,00%","66,7",,4538,211,"2,40%","69,4",,3057,254,"4,20%","46,7",,3023,256,"4,30%","46,2",,2943,261,"4,50%",45,,1068,164,"7,80%","16,3"
,,,HOMBRE,3625,32,"0,5%",,,,,,,,,,,,,,,1325,152,"5,90%","36,6",,1935,155,"4,10%","53,4",,3124,99,"1,60%","86,2",,3366,55,"0,80%","92,9",,,3068,52,"0,90%","84,6",,,2891,89,"1,60%","79,8",,1935,155,"4,1%","53,4",,2099,139,"3,40%",67,,2233,122,"2,80%","71,2",,1529,142,"4,70%","48,8",,1494,141,"4,80%","47,7",,1448,142,"5,00%","46,2",,616,95,"7,90%","19,7"
,,,MUJER,3955,32,"0,4%",,,,,,,,,,,,,,,1384,151,"5,60%",35,,2116,145,"3,50%","53,5",,3384,101,"1,50%","85,6",,3719,45,"0,60%",94,,,3438,50,"0,70%","86,9",,,3232,83,"1,30%","81,7",,2116,145,"3,5%","53,5",,2265,134,"3,00%","66,5",,2305,112,"2,50%","67,7",,1528,129,"4,30%","44,9",,1530,132,"4,40%","44,9",,1496,138,"4,70%","43,9",,452,87,"9,80%","13,3"
,,CABECERA,TOTAL CABECERA,7551,42,"0,3%",3008,82,"1,4%",,1765,142,"4,1%","58,7",,2328,117,"2,6%","77,4",,2704,288,"5,40%","35,8",,4042,285,"3,60%","53,5",,6485,187,"1,50%","85,9",,7059,80,"0,60%","93,5",,,6484,81,"0,60%","85,9",,,6103,155,"1,30%","80,8",,4042,285,"3,6%","53,5",,4353,254,"3,00%","66,8",,4524,211,"2,40%","69,4",,3050,254,"4,20%","46,8",,3017,256,"4,30%","46,3",,2937,261,"4,50%","45,1",,1067,164,"7,80%","16,4"
,,,HOMBRE,3610,32,"0,5%",,,,,,,,,,,,,,,1322,152,"5,90%","36,6",,1930,155,"4,10%","53,5",,3112,99,"1,60%","86,2",,3353,55,"0,80%","92,9",,,3057,52,"0,90%","84,7",,,2881,89,"1,60%","79,8",,1930,155,"4,1%","53,5",,2093,139,"3,40%","67,1",,2226,122,"2,80%","71,3",,1525,142,"4,70%","48,9",,1490,141,"4,80%","47,7",,1444,142,"5,00%","46,3",,615,95,"7,90%","19,7"
,,,MUJER,3941,32,"0,4%",,,,,,,,,,,,,,,1381,151,"5,60%","35,1",,2112,145,"3,50%","53,6",,3373,101,"1,50%","85,582",,3706,45,"0,60%",94,,,3427,50,"0,70%",87,,,3222,83,"1,30%","81,8",,2112,145,"3,5%","53,6",,2259,134,"3,00%","66,6",,2298,112,"2,50%","67,7",,1524,129,"4,30%","44,9",,1527,132,"4,40%",45,,1492,138,"4,70%",44,,452,87,"9,80%","13,3"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,29,0,"0,6%",10,0,"1,6%",,2,0,"8,5%","22,7",,8,0,"2,4%","75,3",,5,1,"9,00%","17,6",,9,1,"5,30%","31,8",,23,1,"1,60%","78,4",,27,1,"1,00%","91,1",,,22,0,"1,10%","75,3",,,20,1,"1,50%","68,7",,9,1,"5,3%","31,8",,11,1,"4,40%","49,6",,13,1,"4,20%","57,4",,7,1,"5,70%","29,5",,6,1,"6,60%","27,7",,7,1,"6,20%","29,8",,1,0,"13,40%","3,9"
,,,HOMBRE,15,0,"0,8%",,,,,,,,,,,,,,,3,1,"9,70%","17,8",,5,1,"5,90%","31,9",,12,0,"1,80%",78,,14,0,"1,20%","91,5",,,11,0,"1,30%","73,9",,,10,0,"1,70%","67,1",,5,1,"5,9%","31,9",,6,1,"5,00%",49,,7,1,"4,60%","56,6",,4,0,"6,30%","30,9",,3,0,"7,20%","27,8",,3,0,"6,60%","29,6",,1,0,"15,80%","4,7"
,,,MUJER,14,0,"0,8%",,,,,,,,,,,,,,,2,0,"9,80%","17,3",,5,1,"6,10%","31,7",,11,0,"1,90%","78,9",,13,0,"1,30%","90,7",,,11,0,"1,30%","76,8",,,10,0,"1,70%","70,4",,5,1,"6,1%","31,7",,6,1,"4,70%","50,1",,7,1,"4,60%","58,2",,3,0,"7,00%",28,,3,0,"7,10%","27,5",,3,0,"7,00%",30,,0,0,"17,00%",3
,BOLÍVAR,TOTAL,TOTAL,2086,13,"0,3%",692,13,"1,0%",,144,21,"7,6%","20,8",,337,25,"3,8%","48,8",,282,40,"7,20%","13,5",,523,50,"4,80%","25,1",,1443,39,"1,40%","69,2",,1806,25,"0,70%","86,6",,,1427,23,"0,80%","68,4",,,1223,32,"1,30%","58,6",,523,50,"4,8%","25,1",,690,46,"3,40%","47,7",,853,44,"2,70%","58,9",,372,35,"4,80%","25,7",,333,32,"4,90%",23,,324,34,"5,30%","22,4",,90,20,"11,10%","6,2"
,,,HOMBRE,1034,9,"0,5%",,,,,,,,,,,,,,,142,22,"7,80%","13,7",,249,27,"5,60%",24,,694,23,"1,70%","67,1",,881,16,"0,90%","85,2",,,687,14,"1,10%","66,4",,,578,19,"1,70%","55,8",,249,27,"5,6%","24,0",,328,26,"4,00%","47,1",,412,25,"3,10%","59,1",,184,20,"5,50%","26,4",,157,19,"6,20%","22,5",,148,19,"6,40%","21,2",,48,11,"11,90%","6,9"
,,,MUJER,1052,10,"0,5%",,,,,,,,,,,,,,,141,20,"7,20%","13,4",,274,26,"4,90%",26,,750,22,"1,50%","71,3",,925,15,"0,80%",88,,,740,14,"1,00%","70,3",,,646,17,"1,40%","61,4",,274,26,"4,9%","26,0",,362,24,"3,40%","48,2",,441,23,"2,70%","58,7",,188,18,"4,90%",25,,176,17,"4,80%","23,4",,176,18,"5,20%","23,5",,42,11,"13,20%","5,6"
,,CABECERA,TOTAL CABECERA,1535,12,"0,4%",512,13,"1,3%",,135,21,"8,0%","26,3",,286,24,"4,4%","55,7",,248,39,"7,90%","16,2",,453,48,"5,40%","29,5",,1148,37,"1,60%","74,8",,1355,23,"0,90%","88,3",,,1109,22,"1,00%","72,2",,,984,31,"1,60%","64,1",,453,48,"5,4%","29,5",,617,45,"3,70%","53,6",,711,43,"3,10%","61,8",,338,34,"5,20%","29,4",,310,32,"5,20%","26,9",,290,33,"5,90%","25,2",,87,19,"11,40%","7,5"
,,,HOMBRE,747,9,"0,6%",,,,,,,,,,,,,,,125,21,"8,60%","16,8",,215,26,"6,30%","28,8",,548,21,"2,00%","73,4",,649,15,"1,20%","86,9",,,525,13,"1,30%","70,3",,,459,18,"2,00%","61,5",,215,26,"6,3%","28,8",,295,25,"4,40%","53,5",,341,24,"3,60%","61,9",,166,20,"6,00%","30,2",,145,19,"6,60%","26,3",,132,18,"7,00%","24,1",,46,11,"12,30%","8,4"
,,,MUJER,789,9,"0,6%",,,,,,,,,,,,,,,123,19,"8,00%","15,6",,238,25,"5,40%","30,2",,600,20,"1,70%","76,102",,706,13,"1,00%","89,5",,,585,13,"1,10%","74,1",,,525,17,"1,60%","66,5",,238,25,"5,4%","30,2",,323,23,"3,70%","53,7",,371,22,"3,10%","61,7",,172,18,"5,30%","28,6",,165,16,"5,10%","27,4",,158,18,"5,70%","26,2",,41,11,"13,60%","6,8"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,551,5,"0,4%",179,4,"1,3%",,9,4,"22,6%","5,0",,52,6,"6,1%","28,9",,34,10,"15,00%","6,2",,69,12,"8,80%","12,6",,295,15,"2,70%","53,6",,451,10,"1,20%","81,9",,,317,8,"1,30%","57,7",,,240,11,"2,30%","43,5",,69,12,"8,8%","12,6",,73,10,"7,10%","24,5",,141,13,"4,90%","47,7",,34,7,"10,60%","11,3",,23,6,"12,70%","7,7",,34,6,"9,40%","11,4",,3,2,"28,60%",1
,,,HOMBRE,288,4,"0,6%",,,,,,,,,,,,,,,17,5,"16,30%","5,8",,33,6,"9,60%","11,6",,146,9,"3,20%","50,6",,232,6,"1,40%","80,6",,,162,6,"1,80%","56,5",,,119,6,"2,70%","41,2",,33,6,"9,6%","11,6",,33,5,"8,30%","22,9",,71,8,"5,70%","48,5",,18,4,"11,80%","12,2",,12,4,"15,50%",8,,15,4,"12,40%","10,4",,2,1,"34,00%","1,3"
,,,MUJER,263,4,"0,7%",,,,,,,,,,,,,,,18,5,"15,50%","6,7",,36,7,"9,40%","13,7",,149,8,"2,80%","56,8",,219,6,"1,40%","83,3",,,155,5,"1,70%",59,,,121,6,"2,60%",46,,36,7,"9,4%","13,7",,39,6,"8,10%","26,1",,70,7,"5,20%","46,8",,16,4,"12,40%","10,5",,11,3,"16,00%","7,4",,19,4,"10,60%","12,4",,1,1,"35,40%","0,7"
,BOYACÁ,TOTAL,TOTAL,1194,7,"0,3%",448,7,"0,8%",,137,10,"3,6%","30,6",,274,13,"2,3%","61,1",,287,21,"3,80%",24,,412,21,"2,60%","34,5",,811,22,"1,40%","67,9",,1113,11,"0,50%","93,2",,,968,10,"0,50%",81,,,790,15,"0,90%","66,2",,412,21,"2,6%","34,5",,502,21,"2,20%","61,4",,448,21,"2,40%","54,8",,296,20,"3,40%","36,2",,236,17,"3,80%","28,8",,260,18,"3,40%","31,8",,56,9,"8,10%","6,9"
,,,HOMBRE,585,6,"0,5%",,,,,,,,,,,,,,,137,12,"4,60%","23,4",,201,13,"3,30%","34,3",,399,14,"1,80%","68,1",,541,8,"0,70%","92,4",,,470,7,"0,70%","80,3",,,381,9,"1,20%","65,1",,201,13,"3,3%","34,3",,248,13,"2,70%","61,8",,218,13,"3,00%","54,2",,149,12,"4,10%","37,2",,117,11,"4,70%",29,,129,11,"4,20%","32,1",,32,6,"10,00%","7,9"
,,,MUJER,609,5,"0,4%",,,,,,,,,,,,,,,150,12,"4,10%","24,6",,211,12,"3,00%","34,6",,412,12,"1,40%","67,7",,572,7,"0,60%","93,9",,,498,7,"0,70%","81,7",,,409,9,"1,20%","67,1",,211,12,"3,0%","34,6",,254,12,"2,30%",61,,230,12,"2,60%","55,3",,146,11,"3,70%","35,2",,119,10,"4,30%","28,7",,131,10,"4,10%","31,5",,25,5,"10,20%","5,9"
,,CABECERA,TOTAL CABECERA,735,5,"0,4%",281,7,"1,2%",,124,10,"3,9%","44,3",,194,11,"3,0%","69,2",,241,20,"4,30%","32,8",,327,19,"3,00%","44,5",,563,19,"1,70%","76,6",,697,7,"0,50%","94,9",,,618,8,"0,60%","84,1",,,543,12,"1,10%","73,9",,327,19,"3,0%","44,5",,362,19,"2,60%","63,8",,345,18,"2,70%","60,8",,234,18,"4,00%","41,2",,181,16,"4,50%","31,9",,207,16,"3,90%","36,4",,47,8,"9,30%","8,2"
,,,HOMBRE,348,4,"0,7%",,,,,,,,,,,,,,,114,11,"5,10%","32,9",,157,11,"3,70%","45,3",,270,11,"2,10%","77,6",,326,5,"0,80%","93,7",,,285,5,"1,00%",82,,,252,7,"1,40%","72,5",,157,11,"3,7%","45,3",,177,11,"3,20%","65,1",,165,12,"3,60%","60,6",,118,11,"4,80%","43,5",,90,9,"5,30%",33,,103,10,"4,70%","37,8",,27,6,"11,10%",10
,,,MUJER,387,4,"0,5%",,,,,,,,,,,,,,,127,11,"4,60%","32,7",,170,11,"3,30%","43,8",,293,10,"1,70%","75,596",,372,5,"0,70%",96,,,333,5,"0,80%",86,,,291,8,"1,40%","75,1",,170,11,"3,3%","43,8",,185,10,"2,80%","62,6",,180,10,"2,80%",61,,115,10,"4,30%","39,1",,91,9,"5,00%","30,8",,103,9,"4,60%",35,,19,4,"11,40%","6,6"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,460,4,"0,5%",167,3,"1,1%",,13,3,"10,9%","7,5",,80,6,"3,5%","47,6",,46,8,"9,00%","9,9",,85,10,"6,10%","18,4",,249,13,"2,70%","54,1",,416,8,"1,00%","90,4",,,350,6,"0,90%","76,1",,,247,9,"1,80%","53,8",,85,10,"6,1%","18,4",,140,11,"4,10%","55,9",,103,11,"5,20%","41,1",,62,9,"7,00%","24,7",,55,8,"7,00%",22,,53,8,"7,60%","21,3",,10,3,"17,70%","3,8"
,,,HOMBRE,238,3,"0,7%",,,,,,,,,,,,,,,23,5,"11,30%","9,6",,43,6,"7,20%","18,2",,129,8,"3,30%","54,2",,215,6,"1,30%","90,7",,,185,4,"1,20%","77,9",,,129,6,"2,30%","54,4",,43,6,"7,2%","18,2",,71,7,"5,10%","54,7",,53,6,"5,80%","40,7",,31,5,"8,30%","23,9",,27,5,"9,70%","20,6",,26,5,"9,30%","20,1",,4,2,"22,60%","3,4"
,,,MUJER,222,3,"0,7%",,,,,,,,,,,,,,,23,4,"9,70%","10,3",,41,6,"7,20%","18,6",,120,7,"2,80%","53,9",,200,5,"1,20%","90,1",,,165,4,"1,20%","74,2",,,118,5,"2,00%","53,2",,41,6,"7,2%","18,6",,69,6,"4,60%","57,3",,50,6,"6,40%","41,5",,31,5,"8,80%","25,6",,28,5,"8,40%","23,4",,27,5,"9,30%","22,7",,5,2,"23,90%","4,3"
,CALDAS,TOTAL,TOTAL,995,7,"0,3%",371,9,"1,2%",,143,15,"5,2%","38,5",,224,13,"2,9%","60,3",,247,26,"5,40%","24,8",,353,27,"3,90%","35,5",,763,19,"1,20%","76,6",,924,11,"0,60%","92,9",,,832,9,"0,60%","83,6",,,765,13,"0,80%","76,8",,353,27,"3,9%","35,5",,391,23,"2,90%","51,1",,419,23,"2,70%","54,8",,314,22,"3,60%","41,1",,267,22,"4,20%",35,,285,21,"3,80%","37,3",,64,11,"8,90%","8,4"
,,,HOMBRE,479,5,"0,5%",,,,,,,,,,,,,,,121,14,"6,00%","25,4",,171,14,"4,30%","35,8",,359,10,"1,40%","74,9",,438,8,"0,90%","91,5",,,393,7,"0,90%","82,1",,,355,8,"1,10%","74,2",,171,14,"4,3%","35,8",,191,13,"3,50%","53,2",,200,13,"3,40%","55,4",,155,14,"4,40%","43,2",,133,14,"5,30%",37,,140,13,"4,80%","38,9",,39,8,"10,40%","10,9"
,,,MUJER,516,4,"0,4%",,,,,,,,,,,,,,,126,14,"5,90%","24,4",,182,15,"4,10%","35,3",,404,11,"1,40%","78,2",,486,7,"0,70%","94,1",,,439,6,"0,70%",85,,,409,7,"0,90%","79,3",,182,15,"4,1%","35,3",,199,12,"3,10%","49,2",,219,12,"2,80%","54,2",,159,12,"3,70%","39,2",,134,11,"4,20%","33,2",,145,11,"3,80%","35,9",,25,5,"10,00%","6,1"
,,CABECERA,TOTAL CABECERA,773,6,"0,4%",294,9,"1,6%",,136,14,"5,4%","46,2",,202,13,"3,2%","68,8",,227,26,"5,80%","29,4",,319,26,"4,20%","41,3",,631,17,"1,40%","81,7",,727,10,"0,70%","94,1",,,658,8,"0,60%","85,2",,,614,12,"1,00%","79,5",,319,26,"4,2%","41,3",,348,22,"3,20%","55,1",,377,22,"3,00%","59,6",,289,22,"3,90%","45,7",,248,22,"4,50%","39,2",,265,21,"4,00%","41,9",,58,11,"9,60%","9,2"
,,,HOMBRE,362,4,"0,6%",,,,,,,,,,,,,,,112,14,"6,40%",31,,155,14,"4,70%","42,8",,293,9,"1,50%","80,9",,337,7,"1,00%","93,1",,,304,6,"1,10%",84,,,280,7,"1,30%","77,5",,155,14,"4,7%","42,8",,172,13,"3,80%","58,8",,180,13,"3,70%","61,3",,142,13,"4,80%","48,5",,123,13,"5,60%","41,9",,130,13,"5,00%","44,5",,36,8,"11,20%","12,3"
,,,MUJER,411,4,"0,5%",,,,,,,,,,,,,,,115,14,"6,30%",28,,164,14,"4,50%","39,9",,339,11,"1,60%","82,348",,391,6,"0,80%",95,,,355,5,"0,80%","86,3",,,334,7,"1,10%","81,1",,164,14,"4,5%","39,9",,176,12,"3,40%","51,9",,197,12,"3,10%","58,2",,147,12,"4,00%","43,2",,125,11,"4,40%","36,9",,134,11,"4,10%","39,7",,22,5,"11,00%","6,6"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,222,2,"0,6%",77,2,"1,6%",,7,2,"13,0%","9,2",,22,3,"6,3%","27,9",,20,4,"9,90%",9,,34,5,"7,70%","15,5",,131,8,"3,10%",59,,197,4,"1,10%","88,6",,,174,4,"1,10%","78,1",,,151,4,"1,50%","67,7",,34,5,"7,7%","15,5",,42,5,"6,40%","31,9",,41,5,"5,60%","31,3",,25,4,"8,60%","19,2",,19,4,"10,20%","14,6",,20,4,"10,10%","15,4",,6,2,"16,60%","4,3"
,,,HOMBRE,117,2,"0,9%",,,,,,,,,,,,,,,9,2,"12,30%",8,,16,3,"9,90%","13,9",,66,5,"3,80%","56,3",,101,3,"1,70%","86,5",,,90,3,"1,60%","76,4",,,75,3,"2,10%","63,9",,16,3,"9,9%","13,9",,19,3,"9,30%","28,5",,20,3,"8,10%","29,4",,13,3,"10,90%","19,7",,10,3,"13,20%","15,4",,10,2,"13,00%","14,5",,3,1,"19,70%","4,9"
,,,MUJER,105,2,"0,9%",,,,,,,,,,,,,,,11,3,"12,60%","10,1",,18,3,"8,90%","17,2",,65,4,"3,20%","61,9",,95,2,"1,20%","90,8",,,84,2,"1,30%",80,,,76,3,"1,80%",72,,18,3,"8,9%","17,2",,23,3,"6,20%","35,3",,22,3,"6,00%","33,3",,12,2,"10,10%","18,7",,9,2,"11,40%","13,9",,11,2,"10,70%","16,2",,2,1,"21,50%","3,8"
,CAQUETÁ,TOTAL,TOTAL,386,3,"0,4%",148,3,"1,1%",,30,4,"6,9%","20,5",,101,5,"2,6%","67,9",,52,7,"6,90%","13,5",,82,8,"4,90%","21,2",,279,10,"1,80%","72,3",,341,7,"1,10%","88,5",,,279,6,"1,00%","72,3",,,242,7,"1,50%","62,8",,82,8,"4,9%","21,2",,131,9,"3,70%",47,,101,10,"4,80%","36,1",,55,7,"6,40%","19,8",,52,6,"5,70%","18,6",,53,6,"5,40%","18,9",,15,3,"11,30%","5,3"
,,,HOMBRE,192,2,"0,7%",,,,,,,,,,,,,,,26,4,"8,60%","13,3",,41,5,"6,10%","21,5",,139,5,"2,00%","72,6",,170,4,"1,20%","88,5",,,137,4,"1,30%","71,3",,,118,4,"1,70%","61,7",,41,5,"6,1%","21,5",,68,6,"4,30%","48,8",,51,5,"5,40%","36,4",,28,4,"7,00%",20,,27,4,"6,80%","19,3",,27,3,"6,20%","19,2",,8,2,"13,70%","5,9"
,,,MUJER,194,2,"0,6%",,,,,,,,,,,,,,,26,4,"7,70%","13,6",,41,4,"5,60%","20,9",,140,6,"2,10%",72,,171,4,"1,30%","88,4",,,142,3,"1,20%","73,3",,,124,4,"1,80%","63,9",,41,4,"5,6%","20,9",,63,5,"4,00%","45,1",,50,6,"5,70%","35,8",,27,4,"7,40%","19,5",,25,3,"6,90%","17,8",,26,4,"7,00%","18,6",,7,2,"12,70%","4,7"
,,CABECERA,TOTAL CABECERA,258,2,"0,5%",104,3,"1,6%",,26,4,"7,7%","24,9",,71,5,"3,5%","67,9",,44,7,"7,90%",17,,70,8,"5,50%",27,,193,8,"2,20%","74,7",,232,6,"1,20%","89,9",,,195,4,"1,10%","75,6",,,171,6,"1,80%","66,1",,70,8,"5,5%","27,0",,90,9,"5,00%","46,7",,77,8,"5,40%","39,7",,46,7,"7,20%","23,9",,44,5,"6,40%","22,6",,44,5,"6,10%","22,6",,13,3,"12,30%","6,9"
,,,HOMBRE,123,2,"0,8%",,,,,,,,,,,,,,,22,4,"9,80%","17,5",,35,5,"6,80%","28,3",,93,5,"2,50%","75,5",,111,3,"1,40%","89,8",,,90,2,"1,40%","73,1",,,80,3,"2,10%","64,6",,35,5,"6,8%","28,3",,46,5,"5,90%","48,9",,38,4,"6,00%","40,3",,23,4,"8,00%","24,8",,23,3,"7,60%","24,5",,22,3,"7,00%",24,,8,2,"14,60%","8,1"
,,,MUJER,135,2,"0,7%",,,,,,,,,,,,,,,22,4,"8,40%","16,5",,35,4,"6,10%","25,9",,100,5,"2,50%","73,895",,122,4,"1,60%",90,,,105,3,"1,30%","77,8",,,91,4,"2,10%","67,6",,35,4,"6,1%","25,9",,45,5,"5,20%","44,6",,39,5,"6,60%",39,,23,4,"8,30%","23,1",,21,3,"7,40%","20,7",,21,3,"7,70%","21,3",,6,2,"13,70%","5,8"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,127,2,"0,9%",44,2,"1,8%",,4,1,"12,4%","9,9",,30,2,"3,4%","68,1",,8,2,"13,00%","6,3",,12,2,"10,10%","9,4",,86,5,"2,90%","67,5",,109,4,"2,00%","85,6",,,84,4,"2,30%","65,6",,,71,3,"2,50%",56,,12,2,"10,1%","9,4",,41,5,"6,30%","47,5",,24,5,"10,00%","28,1",,9,2,"12,40%","10,5",,8,2,"12,50%","9,6",,9,2,"11,30%","10,5",,1,1,"25,40%","1,7"
,,,HOMBRE,69,2,"1,1%",,,,,,,,,,,,,,,4,1,"16,30%","5,7",,6,2,"13,20%","9,4",,46,3,"3,10%","67,3",,59,2,"2,00%","86,3",,,47,3,"3,00%","67,9",,,39,2,"3,00%","56,5",,6,2,"13,2%","9,4",,22,3,"7,00%","48,6",,13,3,"11,80%","28,5",,5,1,"13,40%","10,4",,4,1,"13,90%","8,7",,4,1,"12,80%","9,6",,1,1,"37,20%","1,7"
,,,MUJER,59,2,"1,3%",,,,,,,,,,,,,,,4,2,"19,40%",7,,6,2,"15,00%","9,4",,40,3,"3,60%","67,7",,50,2,"2,40%","84,7",,,37,2,"2,70%","62,8",,,33,2,"3,40%","55,6",,6,2,"15,0%","9,4",,18,3,"7,10%","46,3",,11,2,"10,20%","27,8",,4,1,"15,00%","10,5",,4,2,"18,60%","10,6",,5,2,"16,50%","11,6",,1,0,"32,80%","1,7"
,CASANARE,TOTAL,TOTAL,410,3,"0,3%",161,4,"1,2%",,37,5,"6,4%","22,9",,78,5,"3,2%","48,6",,66,8,"6,20%",16,,125,10,"4,00%","30,4",,310,8,"1,30%","75,8",,376,4,"0,50%","91,9",,,314,4,"0,60%","76,7",,,273,6,"1,20%","66,7",,125,10,"4,0%","30,4",,156,11,"3,80%","49,6",,140,10,"3,70%","44,7",,94,10,"5,30%","30,1",,79,9,"5,60%","25,1",,87,9,"5,50%","27,7",,16,3,"10,90%","5,2"
,,,HOMBRE,206,2,"0,5%",,,,,,,,,,,,,,,33,5,"7,10%","15,9",,61,5,"4,40%","29,7",,153,5,"1,60%","74,5",,188,3,"0,80%","91,1",,,156,3,"0,80%","75,5",,,134,4,"1,30%",65,,61,5,"4,4%","29,7",,77,6,"4,20%","49,7",,69,6,"4,10%","44,2",,47,5,"5,70%",30,,38,5,"6,30%","24,2",,41,5,"6,20%","26,6",,10,2,"11,70%","6,5"
,,,MUJER,204,2,"0,5%",,,,,,,,,,,,,,,33,5,"7,10%","16,1",,64,6,"4,60%","31,2",,157,4,"1,40%",77,,189,2,"0,70%","92,6",,,159,2,"0,80%","77,8",,,140,4,"1,40%","68,5",,64,6,"4,6%","31,2",,78,6,"4,10%","49,5",,72,6,"4,20%","45,2",,48,6,"5,90%","30,1",,41,5,"6,20%",26,,46,5,"6,10%","28,9",,6,2,"13,70%","3,9"
,,CABECERA,TOTAL CABECERA,299,2,"0,4%",120,4,"1,8%",,33,5,"7,0%","27,5",,67,5,"3,7%","55,4",,56,8,"7,20%","18,8",,105,10,"4,70%","35,1",,248,7,"1,40%",83,,280,3,"0,60%","93,6",,,234,3,"0,80%","78,4",,,209,6,"1,40%","69,9",,105,10,"4,7%","35,1",,123,11,"4,60%","49,4",,118,10,"4,30%","47,3",,83,10,"6,00%","33,2",,67,8,"6,40%","26,7",,73,9,"6,60%","29,2",,14,3,"12,30%","5,7"
,,,HOMBRE,145,2,"0,7%",,,,,,,,,,,,,,,28,4,"8,10%","19,2",,51,5,"5,10%","35,1",,120,4,"1,70%","82,9",,136,3,"1,00%","93,3",,,112,2,"1,00%","77,2",,,100,3,"1,60%","68,6",,51,5,"5,1%","35,1",,60,6,"5,10%","49,7",,57,5,"4,70%","47,3",,40,5,"6,50%","33,2",,32,5,"7,30%",26,,34,5,"7,40%",28,,9,2,"13,10%","7,3"
,,,MUJER,153,2,"0,6%",,,,,,,,,,,,,,,28,4,"8,10%","18,4",,54,6,"5,30%","35,1",,127,4,"1,60%","83,052",,144,2,"0,70%",94,,,122,2,"0,90%","79,4",,,109,3,"1,60%","71,1",,54,6,"5,3%","35,1",,63,6,"5,00%","49,1",,61,6,"4,80%","47,4",,43,6,"6,50%","33,3",,35,5,"7,10%","27,4",,39,5,"7,10%","30,3",,5,2,"15,20%","4,2"
